name,games,pass_yards,pass_td,pass_int,rush_yards,rush_td,position,nfl_team,receptions,rec_yards,rec_td,fg_made,xp_made,def_sacks,def_fumble_rec,def_int,def_td,def_safeties,points_allowed_per_game,yards_allowed_per_game
Jameis Winston,17,277.0,2.0,2.0,8.0,0.0,QB,NYG,,,,,,,,,,,,
Riley Leonard,17,259.0,2.0,1.0,9.0,0.0,QB,IND,,,,,,,,,,,,
Quinn Ewers,17,226.0,2.0,1.0,12.0,0.0,QB,MIA,,,,,,,,,,,,
J.J. McCarthy,17,286.0,1.0,1.0,18.0,0.0,QB,MIN,,,,,,,,,,,,
Justin Fields,17,237.0,1.0,1.0,19.0,0.0,QB,KC,,,,,,,,,,,,
Tyrod Taylor,17,211.0,1.0,1.0,9.0,0.0,QB,GB,,,,,,,,,,,,
Joe Milton III,17,177.0,1.0,1.0,22.0,0.0,QB,DAL,,,,,,,,,,,,
Davis Mills,17,221.0,1.0,1.0,4.0,0.0,QB,HOU,,,,,,,,,,,,
Tyson Bagent,17,195.0,1.0,0.0,6.0,0.0,QB,CHI,,,,,,,,,,,,
Will Howard,17,186.0,1.0,1.0,7.0,0.0,QB,PIT,,,,,,,,,,,,
Kenny Pickett,17,185.0,1.0,1.0,6.0,0.0,QB,CAR,,,,,,,,,,,,
Cade Klubnik,17,177.0,1.0,1.0,9.0,0.0,QB,NYJ,,,,,,,,,,,,
Kyle Allen,17,181.0,1.0,1.0,6.0,0.0,QB,BUF,,,,,,,,,,,,
Mac Jones,17,168.0,1.0,0.0,5.0,0.0,QB,SF,,,,,,,,,,,,
Jahmyr Gibbs,17,,,,1422.0,12.0,RB,DET,72.0,572.0,4.0,,,,,,,,,
Bijan Robinson,17,,,,1402.0,9.0,RB,ATL,84.0,707.0,3.0,,,,,,,,,
Christian McCaffrey,17,,,,1144.0,9.0,RB,SF,82.0,715.0,4.0,,,,,,,,,
Jonathan Taylor,17,,,,1436.0,12.0,RB,IND,36.0,289.0,1.0,,,,,,,,,
James Cook,17,,,,1377.0,11.0,RB,BUF,32.0,275.0,2.0,,,,,,,,,
Derrick Henry,17,,,,1572.0,12.0,RB,BAL,16.0,144.0,0.0,,,,,,,,,
Omarion Hampton,17,,,,1129.0,9.0,RB,LAC,52.0,366.0,2.0,,,,,,,,,
Saquon Barkley,17,,,,1236.0,9.0,RB,PHI,42.0,307.0,2.0,,,,,,,,,
De'Von Achane,17,,,,1161.0,6.0,RB,MIA,56.0,411.0,3.0,,,,,,,,,
Chase Brown,17,,,,1066.0,7.0,RB,CIN,55.0,377.0,4.0,,,,,,,,,
Kenneth Walker,17,,,,1177.0,9.0,RB,KC,42.0,322.0,2.0,,,,,,,,,
Ashton Jeanty,17,,,,1137.0,7.0,RB,LV,56.0,406.0,2.0,,,,,,,,,
Jeremiyah Love,17,,,,1082.0,7.0,RB,ARI,56.0,417.0,2.0,,,,,,,,,
Kyren Williams,17,,,,1171.0,10.0,RB,LAR,34.0,245.0,2.0,,,,,,,,,
Josh Jacobs,17,,,,1155.0,10.0,RB,GB,35.0,277.0,1.0,,,,,,,,,
Breece Hall,17,,,,1162.0,5.0,RB,NYJ,47.0,403.0,2.0,,,,,,,,,
Javonte Williams,17,,,,1126.0,10.0,RB,DAL,33.0,217.0,1.0,,,,,,,,,
Cam Skattebo,17,,,,1048.0,8.0,RB,NYG,44.0,346.0,1.0,,,,,,,,,
Bucky Irving,17,,,,1045.0,7.0,RB,TB,39.0,315.0,2.0,,,,,,,,,
Bhayshul Tuten,17,,,,1055.0,7.0,RB,JAC,38.0,288.0,2.0,,,,,,,,,
Travis Etienne,17,,,,1082.0,5.0,RB,NO,44.0,327.0,2.0,,,,,,,,,
D'Andre Swift,17,,,,1049.0,7.0,RB,CHI,39.0,316.0,1.0,,,,,,,,,
Quinshon Judkins,17,,,,1098.0,7.0,RB,CLE,30.0,205.0,1.0,,,,,,,,,
David Montgomery,17,,,,935.0,7.0,RB,HOU,34.0,244.0,1.0,,,,,,,,,
Tony Pollard,17,,,,1065.0,5.0,RB,TEN,32.0,227.0,1.0,,,,,,,,,
Jaylen Warren,17,,,,854.0,5.0,RB,PIT,41.0,329.0,2.0,,,,,,,,,
TreVeyon Henderson,17,,,,856.0,7.0,RB,NE,34.0,257.0,1.0,,,,,,,,,
Rhamondre Stevenson,17,,,,735.0,7.0,RB,NE,40.0,302.0,1.0,,,,,,,,,
Jadarian Price,17,,,,837.0,7.0,RB,SEA,31.0,226.0,1.0,,,,,,,,,
J.K. Dobbins,17,,,,988.0,7.0,RB,DEN,16.0,104.0,1.0,,,,,,,,,
Chuba Hubbard,17,,,,767.0,6.0,RB,CAR,34.0,258.0,1.0,,,,,,,,,
Rico Dowdle,17,,,,801.0,5.0,RB,PIT,30.0,203.0,1.0,,,,,,,,,
Rachaad White,17,,,,539.0,5.0,RB,WAS,42.0,310.0,2.0,,,,,,,,,
Jacory Croskey-Merritt,17,,,,788.0,7.0,RB,WAS,12.0,84.0,0.0,,,,,,,,,
Jonathon Brooks,17,,,,646.0,4.0,RB,CAR,32.0,229.0,1.0,,,,,,,,,
Aaron Jones,17,,,,602.0,3.0,RB,MIN,37.0,268.0,1.0,,,,,,,,,
RJ Harvey,17,,,,373.0,3.0,RB,DEN,44.0,326.0,3.0,,,,,,,,,
Kyle Monangai,17,,,,775.0,4.0,RB,CHI,20.0,162.0,0.0,,,,,,,,,
Blake Corum,17,,,,745.0,6.0,RB,LAR,13.0,89.0,0.0,,,,,,,,,
Jordan Mason,17,,,,831.0,5.0,RB,MIN,12.0,62.0,0.0,,,,,,,,,
Kenneth Gainwell,17,,,,439.0,3.0,RB,TB,37.0,275.0,2.0,,,,,,,,,
Alvin Kamara,17,,,,428.0,2.0,RB,NO,34.0,235.0,2.0,,,,,,,,,
Woody Marks,17,,,,527.0,2.0,RB,HOU,27.0,214.0,1.0,,,,,,,,,
Zach Charbonnet,17,,,,537.0,3.0,RB,SEA,19.0,135.0,1.0,,,,,,,,,
Tyjae Spears,17,,,,344.0,2.0,RB,TEN,38.0,255.0,1.0,,,,,,,,,
Dylan Sampson,17,,,,245.0,1.0,RB,CLE,40.0,316.0,2.0,,,,,,,,,
Chris Rodriguez Jr.,17,,,,556.0,4.0,RB,JAC,10.0,76.0,0.0,,,,,,,,,
Tyrone Tracy Jr.,17,,,,380.0,2.0,RB,NYG,28.0,215.0,1.0,,,,,,,,,
Isiah Pacheco,17,,,,489.0,3.0,RB,DET,20.0,139.0,0.0,,,,,,,,,
Ty Johnson,17,,,,212.0,1.0,RB,BUF,29.0,270.0,2.0,,,,,,,,,
Puka Nacua,17,,,,72.0,1.0,WR,LAR,116.0,1561.0,9.0,,,,,,,,,
Ja'Marr Chase,17,,,,11.0,0.0,WR,CIN,116.0,1474.0,11.0,,,,,,,,,
Amon-Ra St. Brown,17,,,,14.0,0.0,WR,DET,119.0,1377.0,10.0,,,,,,,,,
Jaxon Smith-Njigba,17,,,,30.0,0.0,WR,SEA,105.0,1521.0,8.0,,,,,,,,,
Drake London,17,,,,0.0,0.0,WR,ATL,99.0,1312.0,7.0,,,,,,,,,
Justin Jefferson,17,,,,0.0,0.0,WR,MIN,95.0,1288.0,7.0,,,,,,,,,
CeeDee Lamb,17,,,,0.0,0.0,WR,DAL,87.0,1177.0,8.0,,,,,,,,,
Chris Olave,17,,,,0.0,0.0,WR,NO,97.0,1147.0,7.0,,,,,,,,,
Rashee Rice,17,,,,0.0,0.0,WR,KC,96.0,1117.0,7.0,,,,,,,,,
A.J. Brown,17,,,,0.0,0.0,WR,NE,86.0,1155.0,7.0,,,,,,,,,
Nico Collins,17,,,,0.0,0.0,WR,HOU,79.0,1186.0,7.0,,,,,,,,,
Garrett Wilson,17,,,,0.0,0.0,WR,NYJ,100.0,1155.0,5.0,,,,,,,,,
Zay Flowers,17,,,,59.0,0.0,WR,BAL,79.0,1117.0,6.0,,,,,,,,,
Malik Nabers,17,,,,0.0,0.0,WR,NYG,81.0,1077.0,7.0,,,,,,,,,
DeVonta Smith,17,,,,0.0,0.0,WR,PHI,83.0,1122.0,6.0,,,,,,,,,
George Pickens,17,,,,0.0,0.0,WR,DAL,74.0,1102.0,7.0,,,,,,,,,
Jameson Williams,17,,,,42.0,0.0,WR,DET,66.0,1088.0,7.0,,,,,,,,,
Davante Adams,17,,,,0.0,0.0,WR,LAR,70.0,911.0,10.0,,,,,,,,,
Emeka Egbuka,17,,,,0.0,0.0,WR,TB,78.0,1046.0,7.0,,,,,,,,,
Tetairoa McMillan,17,,,,0.0,0.0,WR,CAR,78.0,1081.0,6.0,,,,,,,,,
Christian Watson,17,,,,0.0,0.0,WR,GB,65.0,982.0,7.0,,,,,,,,,
Mike Evans,17,,,,0.0,0.0,WR,SF,69.0,955.0,7.0,,,,,,,,,
D.J. Moore,17,,,,45.0,0.0,WR,BUF,71.0,955.0,6.0,,,,,,,,,
Tee Higgins,17,,,,0.0,0.0,WR,CIN,65.0,906.0,8.0,,,,,,,,,
Jaylen Waddle,17,,,,0.0,0.0,WR,DEN,72.0,987.0,6.0,,,,,,,,,
Ladd McConkey,17,,,,0.0,0.0,WR,LAC,76.0,956.0,6.0,,,,,,,,,
Rome Odunze,17,,,,0.0,0.0,WR,CHI,65.0,945.0,7.0,,,,,,,,,
Luther Burden III,17,,,,33.0,0.0,WR,CHI,70.0,926.0,6.0,,,,,,,,,
DK Metcalf,17,,,,0.0,0.0,WR,PIT,67.0,944.0,6.0,,,,,,,,,
Terry McLaurin,17,,,,0.0,0.0,WR,WAS,65.0,937.0,6.0,,,,,,,,,
Marvin Harrison Jr.,17,,,,0.0,0.0,WR,ARI,64.0,933.0,6.0,,,,,,,,,
Courtland Sutton,17,,,,0.0,0.0,WR,DEN,63.0,848.0,7.0,,,,,,,,,
Michael Pittman Jr.,17,,,,0.0,0.0,WR,PIT,76.0,877.0,5.0,,,,,,,,,
Alec Pierce,17,,,,0.0,0.0,WR,IND,60.0,917.0,5.0,,,,,,,,,
Jayden Reed,17,,,,68.0,0.0,WR,GB,66.0,815.0,5.0,,,,,,,,,
Carnell Tate,17,,,,0.0,0.0,WR,TEN,65.0,867.0,5.0,,,,,,,,,
Jakobi Meyers,17,,,,19.0,0.0,WR,JAC,67.0,782.0,5.0,,,,,,,,,
Parker Washington,17,,,,0.0,0.0,WR,JAC,62.0,814.0,5.0,,,,,,,,,
Chris Godwin,17,,,,0.0,0.0,WR,TB,68.0,779.0,5.0,,,,,,,,,
Xavier Worthy,17,,,,76.0,1.0,WR,KC,57.0,735.0,4.0,,,,,,,,,
Brian Thomas Jr.,17,,,,0.0,0.0,WR,JAC,56.0,812.0,5.0,,,,,,,,,
Michael Wilson,17,,,,0.0,0.0,WR,ARI,66.0,822.0,4.0,,,,,,,,,
Stefon Diggs,17,,,,0.0,0.0,WR,WAS,62.0,766.0,5.0,,,,,,,,,
Khalil Shakir,17,,,,0.0,0.0,WR,BUF,72.0,766.0,4.0,,,,,,,,,
Jordan Addison,17,,,,19.0,0.0,WR,MIN,55.0,769.0,5.0,,,,,,,,,
Wan'Dale Robinson,17,,,,0.0,0.0,WR,TEN,77.0,796.0,3.0,,,,,,,,,
Romeo Doubs,17,,,,0.0,0.0,WR,NE,58.0,759.0,5.0,,,,,,,,,
Quentin Johnston,17,,,,0.0,0.0,WR,LAC,50.0,707.0,6.0,,,,,,,,,
Josh Downs,17,,,,0.0,0.0,WR,IND,68.0,707.0,4.0,,,,,,,,,
Matthew Golden,17,,,,0.0,0.0,WR,GB,54.0,702.0,5.0,,,,,,,,,
Brock Bowers,17,,,,,,TE,LV,103.0,1088.0,7.0,,,,,,,,,
Trey McBride,17,,,,,,TE,ARI,104.0,1049.0,7.0,,,,,,,,,
Colston Loveland,17,,,,,,TE,CHI,73.0,848.0,6.0,,,,,,,,,
Tyler Warren,17,,,,,,TE,IND,78.0,836.0,5.0,,,,,,,,,
Harold Fannin Jr.,17,,,,,,TE,CLE,77.0,801.0,5.0,,,,,,,,,
Kyle Pitts,17,,,,,,TE,ATL,76.0,856.0,4.0,,,,,,,,,
Travis Kelce,17,,,,,,TE,KC,73.0,771.0,4.0,,,,,,,,,
Sam LaPorta,17,,,,,,TE,DET,61.0,745.0,5.0,,,,,,,,,
Mark Andrews,17,,,,,,TE,BAL,61.0,645.0,6.0,,,,,,,,,
Tucker Kraft,17,,,,,,TE,GB,57.0,724.0,5.0,,,,,,,,,
Dallas Goedert,17,,,,,,TE,PHI,58.0,625.0,6.0,,,,,,,,,
Jake Ferguson,17,,,,,,TE,DAL,71.0,585.0,5.0,,,,,,,,,
George Kittle,17,,,,,,TE,SF,57.0,655.0,5.0,,,,,,,,,
Dalton Kincaid,17,,,,,,TE,BUF,52.0,645.0,5.0,,,,,,,,,
Hunter Henry,17,,,,,,TE,NE,55.0,624.0,5.0,,,,,,,,,
Isaiah Likely,17,,,,,,TE,NYG,56.0,656.0,4.0,,,,,,,,,
Dalton Schultz,17,,,,,,TE,HOU,67.0,646.0,3.0,,,,,,,,,
Juwan Johnson,17,,,,,,TE,NO,60.0,676.0,3.0,,,,,,,,,
Pat Freiermuth,17,,,,,,TE,PIT,53.0,566.0,5.0,,,,,,,,,
Greg Dulcich,17,,,,,,TE,MIA,54.0,606.0,4.0,,,,,,,,,
Brenton Strange,17,,,,,,TE,JAC,51.0,571.0,4.0,,,,,,,,,
T.J. Hockenson,17,,,,,,TE,MIN,59.0,568.0,3.0,,,,,,,,,
AJ Barner,17,,,,,,TE,SEA,54.0,504.0,4.0,,,,,,,,,
Terrance Ferguson,17,,,,,,TE,LAR,40.0,470.0,5.0,,,,,,,,,
Cade Otton,17,,,,,,TE,TB,53.0,525.0,3.0,,,,,,,,,
Chigoziem Okonkwo,17,,,,,,TE,WAS,54.0,519.0,3.0,,,,,,,,,
Evan Engram,17,,,,,,TE,DEN,57.0,484.0,3.0,,,,,,,,,
Mike Gesicki,17,,,,,,TE,CIN,43.0,450.0,4.0,,,,,,,,,
Gunnar Helm,17,,,,,,TE,TEN,45.0,455.0,3.0,,,,,,,,,
Mason Taylor,17,,,,,,TE,NYJ,50.0,481.0,2.0,,,,,,,,,
Michael Mayer,17,,,,,,TE,LV,43.0,420.0,3.0,,,,,,,,,
David Njoku,17,,,,,,TE,LAC,45.0,369.0,3.0,,,,,,,,,
Kenyon Sadiq,17,,,,,,TE,NYJ,39.0,455.0,2.0,,,,,,,,,
Oronde Gadsden,17,,,,,,TE,LAC,34.0,414.0,3.0,,,,,,,,,
Darren Waller,17,,,,,,TE,CAR,35.0,337.0,4.0,,,,,,,,,
Cole Kmet,17,,,,,,TE,CHI,35.0,374.0,3.0,,,,,,,,,
Colby Parkinson,17,,,,,,TE,LAR,33.0,321.0,3.0,,,,,,,,,
Dawson Knox,17,,,,,,TE,BUF,26.0,329.0,3.0,,,,,,,,,
Darnell Washington,17,,,,,,TE,PIT,26.0,299.0,2.0,,,,,,,,,
Theo Johnson,17,,,,,,TE,NYG,24.0,282.0,2.0,,,,,,,,,
Jake Tonges,17,,,,,,TE,SF,25.0,265.0,2.0,,,,,,,,,
Noah Fant,17,,,,,,TE,NO,27.0,255.0,2.0,,,,,,,,,
Austin Hooper,17,,,,,,TE,ATL,22.0,245.0,2.0,,,,,,,,,
Luke Musgrave,17,,,,,,TE,GB,28.0,269.0,1.0,,,,,,,,,
Noah Gray,17,,,,,,TE,KC,22.0,234.0,2.0,,,,,,,,,
Tyler Higbee,17,,,,,,TE,LAR,20.0,236.0,2.0,,,,,,,,,
Elijah Arroyo,17,,,,,,TE,SEA,23.0,216.0,2.0,,,,,,,,,
Josh Oliver,17,,,,,,TE,MIN,17.0,188.0,2.0,,,,,,,,,
Tommy Tremble,17,,,,,,TE,CAR,22.0,215.0,1.0,,,,,,,,,
Charlie Kolar,17,,,,,,TE,LAC,21.0,209.0,1.0,,,,,,,,,
Brandon Aubrey,17,,,,,,K,DAL,,,,35.0,45.0,,,,,,,
Cameron Dicker,17,,,,,,K,LAC,,,,35.0,41.0,,,,,,,
Ka'imi Fairbairn,17,,,,,,K,HOU,,,,34.0,36.0,,,,,,,
Jason Myers,17,,,,,,K,SEA,,,,32.0,42.0,,,,,,,
Wil Lutz,17,,,,,,K,DEN,,,,29.0,46.0,,,,,,,
Chase McLaughlin,17,,,,,,K,TB,,,,31.0,38.0,,,,,,,
Harrison Butker,17,,,,,,K,KC,,,,30.0,40.0,,,,,,,
Eddy Pineiro,17,,,,,,K,SF,,,,30.0,40.0,,,,,,,
Tyler Bass,17,,,,,,K,BUF,,,,25.0,51.0,,,,,,,
Tyler Loop,17,,,,,,K,BAL,,,,27.0,44.0,,,,,,,
Jake Bates,17,,,,,,K,DET,,,,26.0,47.0,,,,,,,
Cam Little,17,,,,,,K,JAC,,,,28.0,41.0,,,,,,,
Will Reichard,17,,,,,,K,MIN,,,,29.0,38.0,,,,,,,
Andres Borregales,17,,,,,,K,NE,,,,26.0,46.0,,,,,,,
Cairo Santos,17,,,,,,K,CHI,,,,28.0,40.0,,,,,,,
Trey Smack,17,,,,,,K,GB,,,,28.0,40.0,,,,,,,
Blake Grupe,17,,,,,,K,IND,,,,28.0,39.0,,,,,,,
Evan McPherson,17,,,,,,K,CIN,,,,26.0,43.0,,,,,,,
Chris Boswell,17,,,,,,K,PIT,,,,28.0,36.0,,,,,,,
Harrison Mevis,17,,,,,,K,LAR,,,,23.0,51.0,,,,,,,
Charlie Smyth,17,,,,,,K,NO,,,,28.0,36.0,,,,,,,
Jake Elliott,17,,,,,,K,PHI,,,,25.0,45.0,,,,,,,
Ben Sauls,17,,,,,,K,NYG,,,,26.0,41.0,,,,,,,
Chad Ryland,17,,,,,,K,ARI,,,,26.0,34.0,,,,,,,
Drew Stevens,17,,,,,,K,WAS,,,,24.0,40.0,,,,,,,
Riley Patterson,17,,,,,,K,MIA,,,,27.0,30.0,,,,,,,
Ryan Fitzgerald,17,,,,,,K,CAR,,,,25.0,35.0,,,,,,,
Nick Folk,17,,,,,,K,ATL,,,,24.0,37.0,,,,,,,
Matt Gay,17,,,,,,K,LV,,,,26.0,31.0,,,,,,,
Joey Slye,17,,,,,,K,TEN,,,,26.0,28.0,,,,,,,
Cade York,17,,,,,,K,NYJ,,,,24.0,30.0,,,,,,,
Andre Szmyt,17,,,,,,K,CLE,,,,23.0,32.0,,,,,,,
Houston,17,,,,,,DST,Houston,,,,,,48.0,10.0,16.0,3.0,1.0,19.11764705882353,328.4
Denver,17,,,,,,DST,Denver,,,,,,61.0,8.0,12.0,2.0,1.0,19.176470588235293,339.9
Pittsburgh,17,,,,,,DST,Pittsburgh,,,,,,44.0,12.0,16.0,2.0,0.0,21.11764705882353,377.1
Minnesota,17,,,,,,DST,Minnesota,,,,,,48.0,11.0,14.0,2.0,0.0,20.352941176470587,347.1
Seattle,17,,,,,,DST,Seattle,,,,,,46.0,6.0,14.0,3.0,1.0,18.41176470588235,340.1
L.A. Chargers,17,,,,,,DST,L.A. Chargers,,,,,,47.0,9.0,17.0,1.0,0.0,20.58823529411765,332.8
Buffalo,17,,,,,,DST,Buffalo,,,,,,40.0,11.0,17.0,2.0,1.0,21.58823529411765,347.9
Jacksonville,17,,,,,,DST,Jacksonville,,,,,,37.0,10.0,16.0,2.0,0.0,22.823529411764707,382.1
L.A. Rams,17,,,,,,DST,L.A. Rams,,,,,,44.0,8.0,13.0,2.0,1.0,21.647058823529413,365.2
Philadelphia,17,,,,,,DST,Philadelphia,,,,,,42.0,10.0,12.0,2.0,0.0,18.647058823529413,341.2
Detroit,17,,,,,,DST,Detroit,,,,,,45.0,8.0,14.0,1.0,1.0,22.823529411764707,378.9
New England,17,,,,,,DST,New England,,,,,,37.0,9.0,9.0,2.0,1.0,20.88235294117647,343.20000000000005
Baltimore,17,,,,,,DST,Baltimore,,,,,,45.0,8.0,13.0,1.0,0.0,22.0,362.79999999999995
Cincinnati,17,,,,,,DST,Cincinnati,,,,,,38.0,10.0,14.0,1.0,0.0,25.235294117647058,384.0
Cleveland,17,,,,,,DST,Cleveland,,,,,,45.0,8.0,12.0,2.0,0.0,24.235294117647058,340.0
Green Bay,17,,,,,,DST,Green Bay,,,,,,41.0,10.0,11.0,1.0,0.0,20.941176470588236,347.0
New Orleans,17,,,,,,DST,New Orleans,,,,,,42.0,8.0,12.0,2.0,0.0,22.941176470588236,361.1
Chicago,17,,,,,,DST,Chicago,,,,,,36.0,9.0,14.0,1.0,0.0,23.470588235294116,390.0
Tampa Bay,17,,,,,,DST,Tampa Bay,,,,,,41.0,11.0,11.0,1.0,1.0,23.294117647058822,368.6
Indianapolis,17,,,,,,DST,Indianapolis,,,,,,38.0,9.0,15.0,1.0,0.0,24.41176470588235,385.29999999999995
N.Y. Giants,17,,,,,,DST,N.Y. Giants,,,,,,41.0,9.0,10.0,1.0,0.0,22.941176470588236,373.8
Dallas,17,,,,,,DST,Dallas,,,,,,43.0,7.0,11.0,1.0,0.0,25.294117647058822,388.7
Atlanta,17,,,,,,DST,Atlanta,,,,,,40.0,7.0,11.0,2.0,1.0,24.235294117647058,368.8
Washington,17,,,,,,DST,Washington,,,,,,42.0,8.0,7.0,1.0,1.0,24.823529411764707,394.4
Tennessee,17,,,,,,DST,Tennessee,,,,,,40.0,7.0,8.0,1.0,1.0,27.41176470588235,384.8
Kansas City,17,,,,,,DST,Kansas City,,,,,,41.0,7.0,11.0,1.0,0.0,19.235294117647058,357.1
Arizona,17,,,,,,DST,Arizona,,,,,,36.0,8.0,11.0,1.0,1.0,25.11764705882353,378.4
San Francisco,17,,,,,,DST,San Francisco,,,,,,37.0,7.0,11.0,1.0,0.0,23.235294117647058,365.1
Carolina,17,,,,,,DST,Carolina,,,,,,35.0,7.0,11.0,1.0,0.0,23.823529411764707,370.9
N.Y. Jets,17,,,,,,DST,N.Y. Jets,,,,,,37.0,7.0,8.0,0.0,1.0,25.58823529411765,384.5
Las Vegas,17,,,,,,DST,Las Vegas,,,,,,37.0,6.0,9.0,1.0,1.0,25.352941176470587,353.8
Miami,17,,,,,,DST,Miami,,,,,,37.0,8.0,9.0,0.0,0.0,24.529411764705884,376.1
